Date,COST,GOOG,AAPL
31/07/2020,325.529999,1482.959961,106.260002
3/08/2020,329.320007,1474.449951,108.9375
4/08/2020,339.790009,1464.969971,109.665001
5/08/2020,339.970001,1473.609985,110.0625
6/08/2020,343.309998,1500.099976,113.902496
7/08/2020,340.910004,1494.48999,111.112503
10/08/2020,340,1496.099976,112.727501
11/08/2020,332.429993,1480.319946,109.375
12/08/2020,336.76001,1506.619995,113.010002
13/08/2020,335.700012,1518.449951,115.010002
14/08/2020,336.279999,1507.72998,114.907501
17/08/2020,339.959991,1517.97998,114.607498
18/08/2020,340.75,1558.599976,115.5625
19/08/2020,340.899994,1547.530029,115.707497
20/08/2020,340.869995,1581.75,118.275002
21/08/2020,344.609985,1580.420044,124.370003
24/08/2020,344.130005,1588.199951,125.857498
25/08/2020,344.709991,1608.219971,124.824997
26/08/2020,344.269989,1652.380005,126.522499
27/08/2020,346.359985,1634.329956,125.010002
28/08/2020,348.369995,1644.410034,124.807503
31/08/2020,347.660004,1634.180054,129.039993
1/09/2020,351.380005,1660.709961,134.179993
2/09/2020,358.859985,1728.280029,131.399994
3/09/2020,348.299988,1641.839966,120.879997
4/09/2020,346.570007,1591.040039,120.959999
8/09/2020,338.859985,1532.390015,112.82
9/09/2020,346.429993,1556.959961,117.32
10/09/2020,339.529999,1532.02002,113.489998
11/09/2020,339.130005,1520.719971,112
14/09/2020,342.920013,1519.280029,115.360001
15/09/2020,343.910004,1541.439941,115.540001
16/09/2020,343.730011,1520.900024,112.129997
17/09/2020,338.880005,1495.530029,110.339996
18/09/2020,335.959991,1459.98999,106.839996
21/09/2020,339.570007,1431.160034,110.080002
22/09/2020,344.450012,1465.459961,111.809998
23/09/2020,344.630005,1415.209961,107.120003
24/09/2020,347,1428.290039,108.220001
25/09/2020,342.579987,1444.959961,112.279999
28/09/2020,349.619995,1464.52002,114.959999
29/09/2020,352.140015,1469.329956,114.089996
30/09/2020,355,1469.599976,115.809998
1/10/2020,358.459991,1490.089966,116.790001
2/10/2020,355.01001,1458.420044,113.019997
5/10/2020,358.579987,1486.02002,116.5
6/10/2020,358.350006,1453.439941,113.160004
7/10/2020,363.019989,1460.290039,115.080002
8/10/2020,365.089996,1485.930054,114.970001
9/10/2020,369.459991,1515.219971,116.970001
12/10/2020,376.480011,1569.150024,124.400002
13/10/2020,380.679993,1571.680054,121.099998
14/10/2020,378.339996,1568.079956,121.190002
15/10/2020,376.579987,1559.130005,120.709999
16/10/2020,381.540009,1573.01001,119.019997
19/10/2020,375.559998,1534.609985,115.980003
20/10/2020,378.309998,1555.930054,117.510002
21/10/2020,377.820007,1593.310059,116.870003
22/10/2020,375.75,1615.329956,115.75
23/10/2020,374.600006,1641,115.040001
26/10/2020,370.709991,1590.449951,115.050003
27/10/2020,372.720001,1604.26001,116.599998
28/10/2020,364.959991,1516.619995,111.199997
29/10/2020,364.859985,1567.23999,115.32
30/10/2020,357.619995,1621.01001,108.860001
2/11/2020,364.390015,1626.030029,108.769997
3/11/2020,371.959991,1650.209961,110.440002
4/11/2020,376.170013,1749.130005,114.949997
5/11/2020,385.230011,1763.369995,119.029999
6/11/2020,385.660004,1761.75,118.690002
9/11/2020,365,1763,116.32
10/11/2020,366.619995,1740.390015,115.970001
11/11/2020,372.920013,1752.709961,119.489998
12/11/2020,375.709991,1749.839966,119.209999
13/11/2020,378.839996,1777.02002,119.260002
16/11/2020,379.790009,1781.380005,120.300003
17/11/2020,381.920013,1770.150024,119.389999
18/11/2020,382.230011,1746.780029,118.029999
19/11/2020,383.540009,1763.920044,118.639999
20/11/2020,381.119995,1742.189941,117.339996
23/11/2020,381.709991,1734.859985,113.849998
24/11/2020,384.220001,1768.880005,115.169998
25/11/2020,387.75,1771.430054,116.029999
27/11/2020,388.390015,1793.189941,116.589996
30/11/2020,391.769989,1760.73999,119.050003
1/12/2020,387.559998,1798.099976,122.720001
2/12/2020,383.5,1827.949951,123.080002
3/12/2020,374.049988,1826.77002,122.940002
4/12/2020,373.429993,1827.98999,122.25
7/12/2020,373.329987,1819.47998,123.75
8/12/2020,377.600006,1818.550049,124.379997
9/12/2020,374.290009,1784.130005,121.779999
10/12/2020,372.790009,1775.329956,123.239998
11/12/2020,375.100006,1781.77002,122.410004
14/12/2020,374.380005,1760.060059,121.779999
15/12/2020,371.880005,1767.77002,127.879997
16/12/2020,369.440002,1763,127.809998
